acquisition_channel,signup_month,activity_month,period_index,cohort_customers,acquisition_spend,cac,active_customers,net_revenue,contribution_margin,cumulative_contribution_margin,cumulative_margin_net_of_cac,payback_ratio
Affiliate,2024-10-01,2025-05-01,7,41,1721.35,41.98,0,0.00,0.0,3302.36,1581.01,1.9185
Affiliate,2024-10-01,2025-06-01,8,41,1721.35,41.98,1,166.85,63.54,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2025-07-01,9,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2025-08-01,10,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2025-09-01,11,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2025-10-01,12,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2025-11-01,13,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2025-12-01,14,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2026-01-01,15,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2026-02-01,16,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2026-03-01,17,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2026-04-01,18,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2026-05-01,19,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2024-10-01,2026-06-01,20,41,1721.35,41.98,0,0.00,0.0,3365.9,1644.55,1.9554
Affiliate,2025-06-01,2025-06-01,0,17,710.85,41.81,17,3174.31,689.7,689.7,-21.15,0.9702
Affiliate,2025-06-01,2025-07-01,1,17,710.85,41.81,2,573.08,75.48,765.18,54.33,1.0764
Affiliate,2025-06-01,2025-08-01,2,17,710.85,41.81,3,1966.47,468.76,1233.94,523.09,1.7359
Affiliate,2025-06-01,2025-09-01,3,17,710.85,41.81,1,106.79,10.13,1244.07,533.22,1.7501
Affiliate,2025-06-01,2025-10-01,4,17,710.85,41.81,1,503.29,184.99,1429.06,718.21,2.0104
Affiliate,2025-06-01,2025-11-01,5,17,710.85,41.81,0,0.00,0.0,1429.06,718.21,2.0104
Affiliate,2025-06-01,2025-12-01,6,17,710.85,41.81,0,0.00,0.0,1429.06,718.21,2.0104
Affiliate,2025-06-01,2026-01-01,7,17,710.85,41.81,1,157.36,-20.61,1408.45,697.6,1.9814
Affiliate,2025-06-01,2026-02-01,8,17,710.85,41.81,0,0.00,0.0,1408.45,697.6,1.9814
Affiliate,2025-06-01,2026-03-01,9,17,710.85,41.81,0,0.00,0.0,1408.45,697.6,1.9814
Affiliate,2025-06-01,2026-04-01,10,17,710.85,41.81,0,0.00,0.0,1408.45,697.6,1.9814
Affiliate,2025-06-01,2026-05-01,11,17,710.85,41.81,0,0.00,0.0,1408.45,697.6,1.9814
Affiliate,2025-06-01,2026-06-01,12,17,710.85,41.81,0,0.00,0.0,1408.45,697.6,1.9814
Affiliate,2025-08-01,2025-08-01,0,16,651.61,40.73,16,4001.66,1028.51,1028.51,376.9,1.5784
Affiliate,2025-08-01,2025-09-01,1,16,651.61,40.73,2,615.10,134.81,1163.32,511.71,1.7853
Affiliate,2025-08-01,2025-10-01,2,16,651.61,40.73,2,344.32,140.22,1303.54,651.93,2.0005
Affiliate,2025-08-01,2025-11-01,3,16,651.61,40.73,0,0.00,0.0,1303.54,651.93,2.0005
Affiliate,2025-08-01,2025-12-01,4,16,651.61,40.73,0,0.00,0.0,1303.54,651.93,2.0005
Affiliate,2025-08-01,2026-01-01,5,16,651.61,40.73,1,117.01,-4.15,1299.39,647.78,1.9941
Affiliate,2025-08-01,2026-02-01,6,16,651.61,40.73,0,0.00,0.0,1299.39,647.78,1.9941
Affiliate,2025-08-01,2026-03-01,7,16,651.61,40.73,0,0.00,0.0,1299.39,647.78,1.9941
Affiliate,2025-08-01,2026-04-01,8,16,651.61,40.73,0,0.00,0.0,1299.39,647.78,1.9941
Affiliate,2025-08-01,2026-05-01,9,16,651.61,40.73,0,0.00,0.0,1299.39,647.78,1.9941
Affiliate,2025-08-01,2026-06-01,10,16,651.61,40.73,0,0.00,0.0,1299.39,647.78,1.9941
Affiliate,2026-01-01,2026-01-01,0,8,303.64,37.96,8,2286.26,376.47,376.47,72.83,1.2399
Affiliate,2026-01-01,2026-02-01,1,8,303.64,37.96,0,0.00,0.0,376.47,72.83,1.2399
Affiliate,2026-01-01,2026-03-01,2,8,303.64,37.96,0,0.00,0.0,376.47,72.83,1.2399
Affiliate,2026-01-01,2026-04-01,3,8,303.64,37.96,1,306.59,25.85,402.32,98.68,1.325
Affiliate,2026-01-01,2026-05-01,4,8,303.64,37.96,0,0.00,0.0,402.32,98.68,1.325
Affiliate,2026-01-01,2026-06-01,5,8,303.64,37.96,0,0.00,0.0,402.32,98.68,1.325
Email & CRM,2024-08-01,2024-08-01,0,23,138.95,6.04,21,6533.43,472.26,472.26,333.31,3.3988
Email & CRM,2024-08-01,2024-09-01,1,23,138.95,6.04,7,1246.46,339.81,812.07,673.12,5.8443
Email & CRM,2024-08-01,2024-10-01,2,23,138.95,6.04,6,2283.10,601.91,1413.98,1275.03,10.1762
Email & CRM,2024-08-01,2024-11-01,3,23,138.95,6.04,6,1156.37,305.73,1719.71,1580.76,12.3765
Email & CRM,2024-08-01,2024-12-01,4,23,138.95,6.04,2,369.14,200.44,1920.15,1781.2,13.819
Email & CRM,2024-08-01,2025-01-01,5,23,138.95,6.04,1,65.94,36.95,1957.1,1818.15,14.0849
Email & CRM,2024-08-01,2025-02-01,6,23,138.95,6.04,2,800.95,244.13,2201.23,2062.28,15.8419
Email & CRM,2024-08-01,2025-03-01,7,23,138.95,6.04,2,680.01,174.03,2375.26,2236.31,17.0944
Email & CRM,2024-08-01,2025-04-01,8,23,138.95,6.04,2,1069.90,71.45,2446.71,2307.76,17.6086
Email & CRM,2024-08-01,2025-05-01,9,23,138.95,6.04,2,639.91,147.97,2594.68,2455.73,18.6735
Email & CRM,2024-08-01,2025-06-01,10,23,138.95,6.04,1,663.69,49.78,2644.46,2505.51,19.0317
Email & CRM,2024-08-01,2025-07-01,11,23,138.95,6.04,0,0.00,0.0,2644.46,2505.51,19.0317
Email & CRM,2024-08-01,2025-08-01,12,23,138.95,6.04,1,28.36,20.95,2665.41,2526.46,19.1825
Email & CRM,2024-08-01,2025-09-01,13,23,138.95,6.04,1,467.72,61.42,2726.83,2587.88,19.6245
Email & CRM,2024-08-01,2025-10-01,14,23,138.95,6.04,0,0.00,0.0,2726.83,2587.88,19.6245
Email & CRM,2024-08-01,2025-11-01,15,23,138.95,6.04,0,0.00,0.0,2726.83,2587.88,19.6245
Email & CRM,2024-08-01,2025-12-01,16,23,138.95,6.04,0,0.00,0.0,2726.83,2587.88,19.6245
Email & CRM,2024-08-01,2026-01-01,17,23,138.95,6.04,1,211.86,55.24,2782.07,2643.12,20.0221
Email & CRM,2024-08-01,2026-02-01,18,23,138.95,6.04,0,0.00,0.0,2782.07,2643.12,20.0221
Email & CRM,2024-08-01,2026-03-01,19,23,138.95,6.04,0,0.00,0.0,2782.07,2643.12,20.0221
Email & CRM,2024-08-01,2026-04-01,20,23,138.95,6.04,0,0.00,0.0,2782.07,2643.12,20.0221
Email & CRM,2024-08-01,2026-05-01,21,23,138.95,6.04,0,0.00,0.0,2782.07,2643.12,20.0221
Email & CRM,2024-08-01,2026-06-01,22,23,138.95,6.04,0,0.00,0.0,2782.07,2643.12,20.0221
Email & CRM,2025-07-01,2025-07-01,0,26,152.46,5.86,25,7612.39,1838.78,1838.78,1686.32,12.0607
Email & CRM,2025-07-01,2025-08-01,1,26,152.46,5.86,9,2839.10,634.36,2473.14,2320.68,16.2216
Email & CRM,2025-07-01,2025-09-01,2,26,152.46,5.86,8,1775.79,486.82,2959.96,2807.5,19.4147
Email & CRM,2025-07-01,2025-10-01,3,26,152.46,5.86,5,1268.24,185.6,3145.56,2993.1,20.632
Email & CRM,2025-07-01,2025-11-01,4,26,152.46,5.86,7,1832.48,325.49,3471.05,3318.59,22.767
Email & CRM,2025-07-01,2025-12-01,5,26,152.46,5.86,3,1077.88,224.74,3695.79,3543.33,24.241
Email & CRM,2025-07-01,2026-01-01,6,26,152.46,5.86,5,1019.95,145.46,3841.25,3688.79,25.1951
Email & CRM,2025-07-01,2026-02-01,7,26,152.46,5.86,3,897.57,401.57,4242.82,4090.36,27.8291
Email & CRM,2025-07-01,2026-03-01,8,26,152.46,5.86,1,586.34,282.06,4524.88,4372.42,29.6791
Email & CRM,2025-07-01,2026-04-01,9,26,152.46,5.86,2,82.08,40.56,4565.44,4412.98,29.9452
Email & CRM,2025-07-01,2026-05-01,10,26,152.46,5.86,0,0.00,0.0,4565.44,4412.98,29.9452
Email & CRM,2025-07-01,2026-06-01,11,26,152.46,5.86,0,0.00,0.0,4565.44,4412.98,29.9452
Marketplace,2025-03-01,2025-03-01,0,39,941.07,24.13,35,8339.62,2389.88,2389.88,1448.81,2.5395
Marketplace,2025-03-01,2025-04-01,1,39,941.07,24.13,7,1704.54,309.43,2699.31,1758.24,2.8683
Marketplace,2025-03-01,2025-05-01,2,39,941.07,24.13,3,860.04,376.03,3075.34,2134.27,3.2679
Marketplace,2025-03-01,2025-06-01,3,39,941.07,24.13,2,142.34,77.4,3152.74,2211.67,3.3502
Marketplace,2025-03-01,2025-07-01,4,39,941.07,24.13,1,200.44,120.59,3273.33,2332.26,3.4783
Marketplace,2025-03-01,2025-08-01,5,39,941.07,24.13,1,786.34,341.48,3614.81,2673.74,3.8412
Marketplace,2025-03-01,2025-09-01,6,39,941.07,24.13,1,113.42,-3.2,3611.61,2670.54,3.8378
Marketplace,2025-03-01,2025-10-01,7,39,941.07,24.13,0,0.00,0.0,3611.61,2670.54,3.8378
Marketplace,2025-03-01,2025-11-01,8,39,941.07,24.13,0,0.00,0.0,3611.61,2670.54,3.8378
Marketplace,2025-03-01,2025-12-01,9,39,941.07,24.13,0,0.00,0.0,3611.61,2670.54,3.8378
Marketplace,2025-03-01,2026-01-01,10,39,941.07,24.13,0,0.00,0.0,3611.61,2670.54,3.8378
Marketplace,2025-03-01,2026-02-01,11,39,941.07,24.13,0,0.00,0.0,3611.61,2670.54,3.8378
Marketplace,2025-03-01,2026-03-01,12,39,941.07,24.13,0,0.00,0.0,3611.61,2670.54,3.8378
Marketplace,2025-03-01,2026-04-01,13,39,941.07,24.13,0,0.00,0.0,3611.61,2670.54,3.8378
Marketplace,2025-03-01,2026-05-01,14,39,941.07,24.13,0,0.00,0.0,3611.61,2670.54,3.8378
Marketplace,2025-03-01,2026-06-01,15,39,941.07,24.13,0,0.00,0.0,3611.61,2670.54,3.8378
Organic Search,2024-03-01,2024-03-01,0,44,183.61,4.17,41,11544.00,3195.2,3195.2,3011.59,17.4021
Organic Search,2024-03-01,2024-04-01,1,44,183.61,4.17,9,2637.22,583.28,3778.48,3594.87,20.5788
Organic Search,2024-03-01,2024-05-01,2,44,183.61,4.17,8,2529.14,743.99,4522.47,4338.86,24.6308
Organic Search,2024-03-01,2024-06-01,3,44,183.61,4.17,9,2104.09,588.13,5110.6,4926.99,27.834
Organic Search,2024-03-01,2024-07-01,4,44,183.61,4.17,7,2445.69,854.95,5965.55,5781.94,32.4903
Organic Search,2024-03-01,2024-08-01,5,44,183.61,4.17,1,113.30,-44.94,5920.61,5737.0,32.2456
Organic Search,2024-03-01,2024-09-01,6,44,183.61,4.17,3,1819.28,356.09,6276.7,6093.09,34.185
Organic Search,2024-03-01,2024-10-01,7,44,183.61,4.17,3,645.74,248.21,6524.91,6341.3,35.5368
Organic Search,2024-03-01,2024-11-01,8,44,183.61,4.17,3,395.28,148.08,6672.99,6489.38,36.3433
Organic Search,2024-03-01,2024-12-01,9,44,183.61,4.17,1,140.58,80.38,6753.37,6569.76,36.7811
Organic Search,2024-03-01,2025-01-01,10,44,183.61,4.17,1,75.06,41.72,6795.09,6611.48,37.0083
Organic Search,2024-03-01,2025-02-01,11,44,183.61,4.17,1,955.00,198.27,6993.36,6809.75,38.0881
Organic Search,2024-03-01,2025-03-01,12,44,183.61,4.17,1,62.01,33.33,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2025-04-01,13,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2025-05-01,14,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2025-06-01,15,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2025-07-01,16,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2025-08-01,17,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2025-09-01,18,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2025-10-01,19,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2025-11-01,20,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2025-12-01,21,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2026-01-01,22,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2026-02-01,23,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2026-03-01,24,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2026-04-01,25,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2026-05-01,26,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2024-03-01,2026-06-01,27,44,183.61,4.17,0,0.00,0.0,7026.69,6843.08,38.2696
Organic Search,2025-05-01,2025-05-01,0,55,230.98,4.2,50,15349.94,4288.75,4288.75,4057.77,18.5676
Organic Search,2025-05-01,2025-06-01,1,55,230.98,4.2,13,2951.42,864.71,5153.46,4922.48,22.3113
Organic Search,2025-05-01,2025-07-01,2,55,230.98,4.2,13,3631.92,907.38,6060.84,5829.86,26.2397
Organic Search,2025-05-01,2025-08-01,3,55,230.98,4.2,6,1476.01,367.22,6428.06,6197.08,27.8295
Organic Search,2025-05-01,2025-09-01,4,55,230.98,4.2,8,3315.55,657.21,7085.27,6854.29,30.6748
Organic Search,2025-05-01,2025-10-01,5,55,230.98,4.2,4,491.99,61.17,7146.44,6915.46,30.9396
Organic Search,2025-05-01,2025-11-01,6,55,230.98,4.2,5,826.15,175.26,7321.7,7090.72,31.6984
Organic Search,2025-05-01,2025-12-01,7,55,230.98,4.2,3,1046.44,418.63,7740.33,7509.35,33.5108
Organic Search,2025-05-01,2026-01-01,8,55,230.98,4.2,4,578.77,67.74,7808.07,7577.09,33.8041
Organic Search,2025-05-01,2026-02-01,9,55,230.98,4.2,2,624.63,209.75,8017.82,7786.84,34.7122
Organic Search,2025-05-01,2026-03-01,10,55,230.98,4.2,3,878.25,336.9,8354.72,8123.74,36.1708
Organic Search,2025-05-01,2026-04-01,11,55,230.98,4.2,3,222.30,126.19,8480.91,8249.93,36.7171
Organic Search,2025-05-01,2026-05-01,12,55,230.98,4.2,0,0.00,0.0,8480.91,8249.93,36.7171
Organic Search,2025-05-01,2026-06-01,13,55,230.98,4.2,1,25.12,4.79,8485.7,8254.72,36.7378
Organic Search,2025-11-01,2025-11-01,0,93,394.40,4.24,89,24165.19,6154.56,6154.56,5760.16,15.6049
Organic Search,2025-11-01,2025-12-01,1,93,394.40,4.24,15,4191.44,747.78,6902.34,6507.94,17.5009
Organic Search,2025-11-01,2026-01-01,2,93,394.40,4.24,16,4844.36,936.95,7839.29,7444.89,19.8765
Organic Search,2025-11-01,2026-02-01,3,93,394.40,4.24,16,3998.14,1244.78,9084.07,8689.67,23.0326
Organic Search,2025-11-01,2026-03-01,4,93,394.40,4.24,18,3303.97,1188.4,10272.47,9878.07,26.0458
Organic Search,2025-11-01,2026-04-01,5,93,394.40,4.24,6,1213.66,390.13,10662.6,10268.2,27.035
Organic Search,2025-11-01,2026-05-01,6,93,394.40,4.24,8,2298.04,851.64,11514.24,11119.84,29.1943
Organic Search,2025-11-01,2026-06-01,7,93,394.40,4.24,6,1156.38,544.45,12058.69,11664.29,30.5748
Paid Search,2025-03-01,2025-03-01,0,67,2098.93,31.33,61,16690.36,4676.25,4676.25,2577.32,2.2279
Paid Search,2025-03-01,2025-04-01,1,67,2098.93,31.33,17,6635.13,1436.57,6112.82,4013.89,2.9124
Paid Search,2025-03-01,2025-05-01,2,67,2098.93,31.33,10,3034.83,1145.94,7258.76,5159.83,3.4583
Paid Search,2025-03-01,2025-06-01,3,67,2098.93,31.33,7,2090.40,-107.81,7150.95,5052.02,3.407
Paid Search,2025-03-01,2025-07-01,4,67,2098.93,31.33,4,1167.60,428.0,7578.95,5480.02,3.6109
Paid Search,2025-03-01,2025-08-01,5,67,2098.93,31.33,5,729.75,268.97,7847.92,5748.99,3.739
Paid Search,2025-03-01,2025-09-01,6,67,2098.93,31.33,3,951.79,336.12,8184.04,6085.11,3.8991
Paid Search,2025-03-01,2025-10-01,7,67,2098.93,31.33,1,209.75,46.63,8230.67,6131.74,3.9214
Paid Search,2025-03-01,2025-11-01,8,67,2098.93,31.33,1,375.22,96.69,8327.36,6228.43,3.9674
Paid Search,2025-03-01,2025-12-01,9,67,2098.93,31.33,0,0.00,0.0,8327.36,6228.43,3.9674
Paid Search,2025-03-01,2026-01-01,10,67,2098.93,31.33,0,0.00,0.0,8327.36,6228.43,3.9674
Paid Search,2025-03-01,2026-02-01,11,67,2098.93,31.33,0,0.00,0.0,8327.36,6228.43,3.9674
Paid Search,2025-03-01,2026-03-01,12,67,2098.93,31.33,0,0.00,0.0,8327.36,6228.43,3.9674
Paid Search,2025-03-01,2026-04-01,13,67,2098.93,31.33,0,0.00,0.0,8327.36,6228.43,3.9674
Paid Search,2025-03-01,2026-05-01,14,67,2098.93,31.33,0,0.00,0.0,8327.36,6228.43,3.9674
Paid Search,2025-03-01,2026-06-01,15,67,2098.93,31.33,0,0.00,0.0,8327.36,6228.43,3.9674
Email & CRM,2024-09-01,2024-09-01,0,27,167.22,6.19,24,6099.18,1654.15,1654.15,1486.93,9.8921
Email & CRM,2024-09-01,2024-10-01,1,27,167.22,6.19,9,1758.73,644.19,2298.34,2131.12,13.7444
Email & CRM,2024-09-01,2024-11-01,2,27,167.22,6.19,8,1265.26,100.61,2398.95,2231.73,14.3461
Email & CRM,2024-09-01,2024-12-01,3,27,167.22,6.19,5,1209.36,447.67,2846.62,2679.4,17.0232
Email & CRM,2024-09-01,2025-01-01,4,27,167.22,6.19,2,640.30,158.31,3004.93,2837.71,17.9699
Email & CRM,2024-09-01,2025-02-01,5,27,167.22,6.19,5,1933.39,614.25,3619.18,3451.96,21.6432
Email & CRM,2024-09-01,2025-03-01,6,27,167.22,6.19,2,175.90,88.49,3707.67,3540.45,22.1724
Email & CRM,2024-09-01,2025-04-01,7,27,167.22,6.19,1,34.09,4.92,3712.59,3545.37,22.2018
Email & CRM,2024-09-01,2025-05-01,8,27,167.22,6.19,2,767.88,167.77,3880.36,3713.14,23.2051
Email & CRM,2024-09-01,2025-06-01,9,27,167.22,6.19,1,429.55,130.5,4010.86,3843.64,23.9855
Email & CRM,2024-09-01,2025-07-01,10,27,167.22,6.19,1,408.30,47.09,4057.95,3890.73,24.2671
Email & CRM,2024-09-01,2025-08-01,11,27,167.22,6.19,0,0.00,0.0,4057.95,3890.73,24.2671
Email & CRM,2024-09-01,2025-09-01,12,27,167.22,6.19,0,0.00,0.0,4057.95,3890.73,24.2671
Email & CRM,2024-09-01,2025-10-01,13,27,167.22,6.19,1,744.76,193.25,4251.2,4083.98,25.4228
Email & CRM,2024-09-01,2025-11-01,14,27,167.22,6.19,0,0.00,0.0,4251.2,4083.98,25.4228
Email & CRM,2024-09-01,2025-12-01,15,27,167.22,6.19,0,0.00,0.0,4251.2,4083.98,25.4228
Email & CRM,2024-09-01,2026-01-01,16,27,167.22,6.19,0,0.00,0.0,4251.2,4083.98,25.4228
Email & CRM,2024-09-01,2026-02-01,17,27,167.22,6.19,0,0.00,0.0,4251.2,4083.98,25.4228
Email & CRM,2024-09-01,2026-03-01,18,27,167.22,6.19,0,0.00,0.0,4251.2,4083.98,25.4228
Email & CRM,2024-09-01,2026-04-01,19,27,167.22,6.19,0,0.00,0.0,4251.2,4083.98,25.4228
Email & CRM,2024-09-01,2026-05-01,20,27,167.22,6.19,0,0.00,0.0,4251.2,4083.98,25.4228
Email & CRM,2024-09-01,2026-06-01,21,27,167.22,6.19,0,0.00,0.0,4251.2,4083.98,25.4228
Organic Search,2025-10-01,2025-10-01,0,71,269.51,3.8,67,25051.16,5433.24,5433.24,5163.73,20.1597
Organic Search,2025-10-01,2025-11-01,1,71,269.51,3.8,18,4256.78,1057.64,6490.88,6221.37,24.084
Organic Search,2025-10-01,2025-12-01,2,71,269.51,3.8,16,5504.16,1648.16,8139.04,7869.53,30.1994
Organic Search,2025-10-01,2026-01-01,3,71,269.51,3.8,14,2341.52,792.51,8931.55,8662.04,33.14
Organic Search,2025-10-01,2026-02-01,4,71,269.51,3.8,9,3317.75,1022.27,9953.82,9684.31,36.933
Organic Search,2025-10-01,2026-03-01,5,71,269.51,3.8,6,2192.12,691.41,10645.23,10375.72,39.4985
Organic Search,2025-10-01,2026-04-01,6,71,269.51,3.8,8,1418.76,233.24,10878.47,10608.96,40.3639
Organic Search,2025-10-01,2026-05-01,7,71,269.51,3.8,2,191.60,7.06,10885.53,10616.02,40.3901
Organic Search,2025-10-01,2026-06-01,8,71,269.51,3.8,6,2149.88,601.15,11486.68,11217.17,42.6206
Paid Social,2024-10-01,2024-10-01,0,79,2541.78,32.17,76,23721.97,5003.49,5003.49,2461.71,1.9685
Paid Social,2024-10-01,2024-11-01,1,79,2541.78,32.17,10,3210.49,547.76,5551.25,3009.47,2.184
Paid Social,2024-10-01,2024-12-01,2,79,2541.78,32.17,7,970.68,93.68,5644.93,3103.15,2.2209
Paid Social,2024-10-01,2025-01-01,3,79,2541.78,32.17,6,2499.06,850.91,6495.84,3954.06,2.5556
Paid Social,2024-10-01,2025-02-01,4,79,2541.78,32.17,1,137.70,1.98,6497.82,3956.04,2.5564
Paid Social,2024-10-01,2025-03-01,5,79,2541.78,32.17,2,824.63,228.35,6726.17,4184.39,2.6462
Paid Social,2024-10-01,2025-04-01,6,79,2541.78,32.17,5,485.80,139.8,6865.97,4324.19,2.7012
Paid Social,2024-10-01,2025-05-01,7,79,2541.78,32.17,1,451.61,94.58,6960.55,4418.77,2.7385
Paid Social,2024-10-01,2025-06-01,8,79,2541.78,32.17,1,44.67,28.77,6989.32,4447.54,2.7498
Paid Social,2024-10-01,2025-07-01,9,79,2541.78,32.17,0,0.00,0.0,6989.32,4447.54,2.7498
Paid Social,2024-10-01,2025-08-01,10,79,2541.78,32.17,1,129.35,35.41,7024.73,4482.95,2.7637
Paid Social,2024-10-01,2025-09-01,11,79,2541.78,32.17,1,965.82,-407.13,6617.6,4075.82,2.6035
Paid Social,2024-10-01,2025-10-01,12,79,2541.78,32.17,0,0.00,0.0,6617.6,4075.82,2.6035
Paid Social,2024-10-01,2025-11-01,13,79,2541.78,32.17,0,0.00,0.0,6617.6,4075.82,2.6035
Paid Social,2024-10-01,2025-12-01,14,79,2541.78,32.17,0,0.00,0.0,6617.6,4075.82,2.6035
Paid Social,2024-10-01,2026-01-01,15,79,2541.78,32.17,0,0.00,0.0,6617.6,4075.82,2.6035
Paid Social,2024-10-01,2026-02-01,16,79,2541.78,32.17,0,0.00,0.0,6617.6,4075.82,2.6035
Paid Social,2024-10-01,2026-03-01,17,79,2541.78,32.17,0,0.00,0.0,6617.6,4075.82,2.6035
Paid Social,2024-10-01,2026-04-01,18,79,2541.78,32.17,0,0.00,0.0,6617.6,4075.82,2.6035
Paid Social,2024-10-01,2026-05-01,19,79,2541.78,32.17,0,0.00,0.0,6617.6,4075.82,2.6035
Paid Social,2024-10-01,2026-06-01,20,79,2541.78,32.17,0,0.00,0.0,6617.6,4075.82,2.6035
Paid Social,2025-06-01,2025-06-01,0,96,3326.70,34.65,89,26046.89,4216.7,4216.7,890.0,1.2675
Paid Social,2025-06-01,2025-07-01,1,96,3326.70,34.65,18,4557.27,1235.81,5452.51,2125.81,1.639
Paid Social,2025-06-01,2025-08-01,2,96,3326.70,34.65,14,2627.24,908.24,6360.75,3034.05,1.912
Paid Social,2025-06-01,2025-09-01,3,96,3326.70,34.65,5,815.50,183.84,6544.59,3217.89,1.9673
Paid Social,2025-06-01,2025-10-01,4,96,3326.70,34.65,3,1311.29,295.84,6840.43,3513.73,2.0562
Paid Social,2025-06-01,2025-11-01,5,96,3326.70,34.65,3,327.65,32.44,6872.87,3546.17,2.066
Paid Social,2025-06-01,2025-12-01,6,96,3326.70,34.65,3,533.53,31.9,6904.77,3578.07,2.0756
Paid Social,2025-06-01,2026-01-01,7,96,3326.70,34.65,1,162.35,16.55,6921.32,3594.62,2.0805
Paid Social,2025-06-01,2026-02-01,8,96,3326.70,34.65,0,0.00,0.0,6921.32,3594.62,2.0805
Paid Social,2025-06-01,2026-03-01,9,96,3326.70,34.65,0,0.00,0.0,6921.32,3594.62,2.0805
Paid Social,2025-06-01,2026-04-01,10,96,3326.70,34.65,0,0.00,0.0,6921.32,3594.62,2.0805
Paid Social,2025-06-01,2026-05-01,11,96,3326.70,34.65,1,28.80,16.23,6937.55,3610.85,2.0854
Paid Social,2025-06-01,2026-06-01,12,96,3326.70,34.65,0,0.00,0.0,6937.55,3610.85,2.0854
Paid Social,2025-08-01,2025-08-01,0,85,2963.49,34.86,83,23691.03,5349.12,5349.12,2385.63,1.805
Paid Social,2025-08-01,2025-09-01,1,85,2963.49,34.86,16,4736.80,1101.87,6450.99,3487.5,2.1768
Paid Social,2025-08-01,2025-10-01,2,85,2963.49,34.86,4,1061.57,-16.27,6434.72,3471.23,2.1713
Paid Social,2025-08-01,2025-11-01,3,85,2963.49,34.86,8,1911.48,521.95,6956.67,3993.18,2.3475
Paid Social,2025-08-01,2025-12-01,4,85,2963.49,34.86,4,945.16,431.85,7388.52,4425.03,2.4932
Paid Social,2025-08-01,2026-01-01,5,85,2963.49,34.86,3,798.54,75.36,7463.88,4500.39,2.5186
Paid Social,2025-08-01,2026-02-01,6,85,2963.49,34.86,0,0.00,0.0,7463.88,4500.39,2.5186
Paid Social,2025-08-01,2026-03-01,7,85,2963.49,34.86,2,963.47,203.82,7667.7,4704.21,2.5874
Paid Social,2025-08-01,2026-04-01,8,85,2963.49,34.86,2,188.90,8.14,7675.84,4712.35,2.5901
Paid Social,2025-08-01,2026-05-01,9,85,2963.49,34.86,0,0.00,0.0,7675.84,4712.35,2.5901
Paid Social,2025-08-01,2026-06-01,10,85,2963.49,34.86,0,0.00,0.0,7675.84,4712.35,2.5901
Paid Social,2026-01-01,2026-01-01,0,89,3066.11,34.45,76,22424.67,3281.66,3281.66,215.55,1.0703
Paid Social,2026-01-01,2026-02-01,1,89,3066.11,34.45,19,3438.40,486.5,3768.16,702.05,1.229
Paid Social,2026-01-01,2026-03-01,2,89,3066.11,34.45,9,3703.87,456.97,4225.13,1159.02,1.378
Paid Social,2026-01-01,2026-04-01,3,89,3066.11,34.45,8,2883.47,302.11,4527.24,1461.13,1.4765
